id,domain,concept,method,backend,response,latency_sec,input_tokens,output_tokens,total_tokens,checkpoint_1,checkpoint_2,checkpoint_3
ml_01,ML,过拟合,A_zero_shot,mock,过拟合可以理解为：模型在训练集表现好但测试集变差。同时，模型学习了噪声而非可泛化规律。在实践中，常见缓解方法包括正则化或增加数据。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,62,51,113,模型在训练集表现好但测试集变差,模型学习了噪声而非可泛化规律,常见缓解方法包括正则化或增加数据
ml_01,ML,过拟合,B_standard_cot,mock,"定义：过拟合涉及模型在训练集表现好但测试集变差。
关键点：模型学习了噪声而非可泛化规律，并且常见缓解方法包括正则化或增加数据。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,82,49,131,模型在训练集表现好但测试集变差,模型学习了噪声而非可泛化规律,常见缓解方法包括正则化或增加数据
ml_01,ML,过拟合,C_feynman_cot,mock,"{""expert_draft"": ""过拟合的核心是：模型在训练集表现好但测试集变差；其次，模型学习了噪声而非可泛化规律；并且常见缓解方法包括正则化或增加数据。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""过拟合可以理解为：模型在训练集表现好但测试集变差。同时，模型学习了噪声而非可泛化规律。在实践中，常见缓解方法包括正则化或增加数据。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0003,348,245,593,模型在训练集表现好但测试集变差,模型学习了噪声而非可泛化规律,常见缓解方法包括正则化或增加数据
ml_02,ML,欠拟合,A_zero_shot,mock,欠拟合可以理解为：模型在训练集和测试集都表现较差。同时，模型容量不足或特征表达不够。在实践中，可通过提升模型复杂度或改进特征缓解。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,62,51,113,模型在训练集和测试集都表现较差,模型容量不足或特征表达不够,可通过提升模型复杂度或改进特征缓解
ml_02,ML,欠拟合,B_standard_cot,mock,"定义：欠拟合涉及模型在训练集和测试集都表现较差。
关键点：模型容量不足或特征表达不够，并且可通过提升模型复杂度或改进特征缓解。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,82,49,131,模型在训练集和测试集都表现较差,模型容量不足或特征表达不够,可通过提升模型复杂度或改进特征缓解
ml_02,ML,欠拟合,C_feynman_cot,mock,"{""expert_draft"": ""欠拟合的核心是：模型在训练集和测试集都表现较差；其次，模型容量不足或特征表达不够；并且可通过提升模型复杂度或改进特征缓解。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""欠拟合可以理解为：模型在训练集和测试集都表现较差。同时，模型容量不足或特征表达不够。在实践中，可通过提升模型复杂度或改进特征缓解。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,348,245,593,模型在训练集和测试集都表现较差,模型容量不足或特征表达不够,可通过提升模型复杂度或改进特征缓解
ml_03,ML,偏差-方差权衡,A_zero_shot,mock,偏差-方差权衡可以理解为：高偏差常导致欠拟合。同时，高方差常导致过拟合。在实践中，需要在模型复杂度与泛化能力间平衡。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,65,47,112,高偏差常导致欠拟合,高方差常导致过拟合,需要在模型复杂度与泛化能力间平衡
ml_03,ML,偏差-方差权衡,B_standard_cot,mock,"定义：偏差-方差权衡涉及高偏差常导致欠拟合。
关键点：高方差常导致过拟合，并且需要在模型复杂度与泛化能力间平衡。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,85,45,130,高偏差常导致欠拟合,高方差常导致过拟合,需要在模型复杂度与泛化能力间平衡
ml_03,ML,偏差-方差权衡,C_feynman_cot,mock,"{""expert_draft"": ""偏差-方差权衡的核心是：高偏差常导致欠拟合；其次，高方差常导致过拟合；并且需要在模型复杂度与泛化能力间平衡。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""偏差-方差权衡可以理解为：高偏差常导致欠拟合。同时，高方差常导致过拟合。在实践中，需要在模型复杂度与泛化能力间平衡。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,351,237,588,高偏差常导致欠拟合,高方差常导致过拟合,需要在模型复杂度与泛化能力间平衡
ml_04,ML,交叉验证,A_zero_shot,mock,交叉验证可以理解为：将数据分成多折轮流验证。同时，用于更稳健估计模型泛化性能。在实践中，可用于模型选择与调参。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,46,109,将数据分成多折轮流验证,用于更稳健估计模型泛化性能,可用于模型选择与调参
ml_04,ML,交叉验证,B_standard_cot,mock,"定义：交叉验证涉及将数据分成多折轮流验证。
关键点：用于更稳健估计模型泛化性能，并且可用于模型选择与调参。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,43,126,将数据分成多折轮流验证,用于更稳健估计模型泛化性能,可用于模型选择与调参
ml_04,ML,交叉验证,C_feynman_cot,mock,"{""expert_draft"": ""交叉验证的核心是：将数据分成多折轮流验证；其次，用于更稳健估计模型泛化性能；并且可用于模型选择与调参。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""交叉验证可以理解为：将数据分成多折轮流验证。同时，用于更稳健估计模型泛化性能。在实践中，可用于模型选择与调参。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,233,582,将数据分成多折轮流验证,用于更稳健估计模型泛化性能,可用于模型选择与调参
ml_05,ML,梯度下降,A_zero_shot,mock,梯度下降可以理解为：通过梯度方向迭代更新参数。同时，目标是最小化损失函数。在实践中，学习率过大或过小都会影响收敛。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,47,110,通过梯度方向迭代更新参数,目标是最小化损失函数,学习率过大或过小都会影响收敛
ml_05,ML,梯度下降,B_standard_cot,mock,"定义：梯度下降涉及通过梯度方向迭代更新参数。
关键点：目标是最小化损失函数，并且学习率过大或过小都会影响收敛。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,45,128,通过梯度方向迭代更新参数,目标是最小化损失函数,学习率过大或过小都会影响收敛
